STATION_NUMBER	STATION_NAME	PROV_TERR_STATE_LOC	HYD_STATUS
02HB032	MOUNTSBERG CREEK BELOW MOUNTSBERG RESERVOIR	ON	Active
02HB033	MOUNTSBERG CREEK NEAR CARLISLE	ON	Active
02HC002	ETOBICOKE CREEK NEAR SUMMERVILLE	ON	Discontinued
02HC003	HUMBER RIVER AT WESTON	ON	Active
02HC004	LITTLE DON RIVER NEAR LANSING	ON	Discontinued
02HC005	DON RIVER WEST BRANCH AT YORK MILLS	ON	Active
02HC006	DUFFINS CREEK AT PICKERING	ON	Discontinued
02HC007	HUMBER RIVER ABOVE EAST HUMBER RIVER	ON	Discontinued
02HC008	WEST HUMBER RIVER NEAR THISTLETOWN	ON	Discontinued
02HC009	EAST HUMBER RIVER NEAR PINE GROVE	ON	Active
02HC010	EAST HUMBER RIVER NEAR KLEINBURG	ON	Discontinued
02HC011	HUMBER RIVER AT WOODBRIDGE	ON	Discontinued
02HC012	HUMBER RIVER NEAR CEDAR MILLS	ON	Discontinued
02HC013	HIGHLAND CREEK NEAR WEST HILL	ON	Active
02HC014	LITTLE ROUGE CREEK AT ROUGE HILL	ON	Discontinued
02HC015	ROUGE RIVER AT ROUGE HILL	ON	Discontinued
02HC016	WEST HUMBER RIVER NEAR WILDFIELD	ON	Discontinued
02HC017	ETOBICOKE CREEK AT BRAMPTON	ON	Active
02HC018	LYNDE CREEK NEAR WHITBY	ON	Active
02HC019	DUFFINS CREEK ABOVE PICKERING	ON	Active
02HC022	ROUGE RIVER NEAR MARKHAM	ON	Active
02HC023	COLD CREEK NEAR BOLTON	ON	Active
02HC024	DON RIVER AT TODMORDEN	ON	Active
02HC025	HUMBER RIVER AT ELDER MILLS	ON	Active
02HC026	WEST DUFFINS CREEK AT GREEN RIVER	ON	Discontinued
02HC027	BLACK CREEK NEAR WESTON	ON	Active
02HC028	LITTLE ROUGE CREEK NEAR LOCUST HILL	ON	Active
02HC029	LITTLE DON RIVER AT DON MILLS	ON	Discontinued
02HC030	ETOBICOKE CREEK BELOW QUEEN ELIZABETH HIGHWAY	ON	Active
02HC031	WEST HUMBER RIVER AT HIGHWAY NO. 7	ON	Active
02HC032	EAST HUMBER RIVER AT KING CREEK	ON	Active
02HC033	MIMICO CREEK AT ISLINGTON	ON	Active
02HC034	WEST HUMBER RIVER BELOW CLAIREVILLE DAM	ON	Discontinued
02HC035	STOUFFVILLE CREEK BELOW STOUFFVILLE	ON	Discontinued
02HC036	KATABOKOKONK CREEK ABOVE LOCUST HILL	ON	Discontinued
02HC037	MAJOR CREEK ABOVE GREEN RIVER	ON	Discontinued
02HC038	WEST DUFFINS CREEK ABOVE GREEN RIVER	ON	Active
02HC039	REESOR CREEK ABOVE GREEN RIVER	ON	Discontinued
02HC040	REESOR CREEK NEAR ALTONA	ON	Discontinued
02HC041	WEST DUFFINS CREEK NEAR ALTONA	ON	Discontinued
02HC042	GANATSEKIAGON CREEK NEAR BROUGHAM	ON	Discontinued
02HC043	URFE CREEK NEAR BROUGHAM	ON	Discontinued
02HC044	BROUGHAM CREEK AT BROUGHAM	ON	Discontinued
02HC045	MICHELL CREEK BELOW CLAREMONT	ON	Discontinued
02HC046	WIXON CREEK BELOW ALTONA	ON	Discontinued
02HC047	HUMBER RIVER NEAR PALGRAVE	ON	Active
02HC048	LAKE ONTARIO AT TORONTO	ON	Active
02HC049	DUFFINS CREEK AT AJAX	ON	Active
02HC050	CENTREVILLE CREEK NEAR PALGRAVE	ON	Discontinued
02HC051	CENTREVILLE CREEK NEAR ALBION	ON	Active
02HC053	LITTLE ROUGE RIVER NEAR DICKSONS HILL	ON	Active
02HC054	LYNDE CREEK AT BROOKLIN	ON	Active
02HC055	LYNDE CREEK TRIBUTARY NEAR KINSALE	ON	Active
02HC056	DON RIVER EAST BRANCH NEAR THORNHILL	ON	Active
02HC057	HUMBER RIVER NEAR BALLYCROY	ON	Discontinued
02HC058	WEST HIGHLAND CREEK NEAR SCARBOROUGH VILLAGE	ON	Active
02HC059	HUMBER RIVER AT HIGHWAY NO. 9	ON	Active
02HC103	ROUGE RIVER AT SCARBOROUGH	ON	Discontinued
02HC104	LITTLE ROUGE CREEK AT SCARBOROUGH	ON	Discontinued
02HC105	PETTICOAT CREEK NEAR DUNBARTON	ON	Discontinued
02HC106	WEST DUFFINS CREEK NEAR PICKERING	ON	Discontinued
02HC114	GANATSEKIAGON CREEK NEAR PICKERING	ON	Discontinued
02HD001	GANARASKA RIVER AT PORT HOPE	ON	Discontinued
02HD002	GANARASKA RIVER NEAR DALE	ON	Discontinued
02HD003	GANARASKA RIVER NEAR OSACA	ON	Active
02HD004	NORTH WEST GANARASKA RIVER NEAR OSACA	ON	Active
02HD006	BOWMANVILLE CREEK AT BOWMANVILLE	ON	Active
02HD007	SOPER CREEK AT BOWMANVILLE	ON	Discontinued
02HD008	OSHAWA CREEK AT OSHAWA	ON	Active
02HD009	WILMOT CREEK NEAR NEWCASTLE	ON	Active
02HD010	SHELTER VALLEY BROOK NEAR GRAFTON	ON	Active
02HD012	GANARASKA RIVER ABOVE DALE	ON	Active
02HD013	HARMONY CREEK AT OSHAWA	ON	Active
02HD014	FAREWELL CREEK AT OSHAWA	ON	Discontinued
02HD015	LAKE ONTARIO AT COBOURG	ON	Active
02HD018	PROCTORS CREEK NEAR BRIGHTON	ON	Active
02HD019	COBOURG BROOK AT COBOURG	ON	Active
02HD020	BALTIMORE CREEK AT BALTIMORE	ON	Active
02HD021	WILMOT CREEK NEAR LESKARD	ON	Active
02HD022	COBOURG BROOK NEAR PRECIOUS CORNERS	ON	Active
02HD023	MACKIE CREEK NEAR HAMPTON	ON	Active
02HD024	GAGE CREEK NEAR DALE	ON	Active
02HE001	BLOOMFIELD CREEK AT BLOOMFIELD	ON	Discontinued
02HE002	CONSECON CREEK AT ALLISONVILLE	ON	Active
02HE003	DEMORESTVILLE CREEK AT DEMORESTVILLE	ON	Discontinued
02HE004	BLACK CREEK AT MILFORD	ON	Active
02HF002	GULL RIVER AT NORLAND	ON	Active
02HF003	BURNT RIVER NEAR BURNT RIVER	ON	Active
02HF004	BOB CREEK NEAR MINDEN	ON	Discontinued
02HG001	MARIPOSA BROOK NEAR LITTLE BRITAIN	ON	Active
02HG002	NONQUON RIVER NEAR PORT PERRY	ON	Active
02HG003	BLACKSTOCK CREEK NEAR BLACKSTOCK	ON	Active
02HH001	EELS CREEK BELOW APSLEY	ON	Discontinued
02HH002	MISSISSAGUA RIVER BELOW MISSISSAGUA LAKE	ON	Discontinued
02HH003	PIGEON RIVER NEAR LOTUS	ON	Active
02HH005	PIGEON RIVER AT OMEMEE	ON	Active
02HJ001	JACKSON CREEK AT PETERBOROUGH	ON	Active
02HJ002	OTONABEE RIVER AT LAKEFIELD	ON	Discontinued
02HJ003	OUSE RIVER NEAR WESTWOOD	ON	Active
02HJ005	SQUIRREL CREEK NEAR BAILIEBORO	ON	Discontinued
02HJ006	JACKSON CREEK NEAR JACKSON HEIGHTS	ON	Active
02HJ007	BAXTER CREEK AT MILLBROOK	ON	Active
02HJ010	OTONABEE RIVER NEAR ROBINSONS ISLAND	ON	Active
02HK002	TRENT RIVER AT HEALEY FALLS	ON	Discontinued
02HK003	CROWE RIVER AT MARMORA	ON	Active
02HK004	TRENT RIVER AT GLEN ROSS	ON	Discontinued
02HK005	CROWE RIVER NEAR GLEN ALDA	ON	Active
02HK006	BEAVER CREEK NEAR MARMORA	ON	Active
02HK007	COLD CREEK AT ORLAND	ON	Active
02HK008	RAWDON CREEK NEAR WEST HUNTINGDON	ON	Active
02HK009	BURNLEY CREEK ABOVE WARKWORTH	ON	Active
02HK010	TRENT RIVER AT TRENTON	ON	Active
02HK011	MAYHEW CREEK NEAR TRENTON	ON	Active
02HK012	TRENT RIVER AT GLEN ROSS (AFFRA)	ON	Discontinued
02HK014	TRENT RIVER NEAR BATAWA (AFFRA)	ON	Discontinued
02HK015	SALT CREEK NEAR CODRINGTON	ON	Active
02HK016	TROUT CREEK NEAR CAMPBELLFORD	ON	Active
02HK017	HOARDS CREEK NEAR WELLMAN	ON	Active
02HK802	TRENT RIVER AT HEALEY FALLS(POWER PLANT)	ON	Discontinued
02HK902	TRENT RIVER AT HEALEY FALLS(SPILLWAY)	ON	Discontinued
02HL001	MOIRA RIVER NEAR FOXBORO	ON	Active
02HL003	BLACK RIVER NEAR ACTINOLITE	ON	Active
02HL004	SKOOTAMATTA RIVER NEAR ACTINOLITE	ON	Active
02HL005	MOIRA RIVER NEAR DELORO	ON	Active
02HL006	PARKS CREEK NEAR LATTA	ON	Discontinued
02HL007	MOIRA RIVER NEAR TWEED	ON	Active
02HL008	CLARE RIVER NEAR BOGART	ON	Active
02HL101	MOIRA RIVER AT TWEED	ON	Discontinued
02HL102	CLARE RIVER NEAR BOGART	ON	Discontinued
02HL103	PARKS CREEK NEAR LATTA	ON	Discontinued
02HL104	MOIRA RIVER NEAR THOMASBURG	ON	Discontinued
02HM001	NAPANEE RIVER NEAR NAPANEE	ON	Discontinued
02HM002	DEPOT CREEK AT BELLROCK	ON	Active
02HM003	SALMON RIVER NEAR SHANNONVILLE	ON	Active
02HM004	WILTON CREEK NEAR NAPANEE	ON	Active
02HM005	COLLINS CREEK NEAR KINGSTON	ON	Active
02HM006	MILLHAVEN CREEK NEAR MILLHAVEN	ON	Active
02HM007	NAPANEE RIVER AT CAMDEN EAST	ON	Active
02HM008	LAKE ONTARIO AT KINGSTON	ON	Active
02HM009	WEST BRANCH LITTLE CATARAQUI CREEK AT KINGSTON	ON	Active
02HM010	SALMON RIVER AT TAMWORTH	ON	Active
02HM011	MILLHAVEN CREEK AT SYDENHAM	ON	Active
02JA001	VICTORIA (LAC)	QC	Discontinued
02JA003	OUTAOUAIS (RIVIERE DES) AU RESERVOIR DOZOIS	QC	Discontinued
02JA005	OUTOUAIS (RIVIERE DES) EN AVAL DU BARRAGE BOURQUE	QC	Discontinued
02JB001	OUTAOUAIS (RIVIERE DES) EN AVAL DU BARRAGE DES QUINZE	QC	Discontinued
02JB002	OUTAOUAIS (RIVIERE DES) EN AMONT DE LA RIVIERE KINOJEVIS	QC	Discontinued
02JB003	KINOJEVIS (RIVIERE) EN AVAL DE LA RIVIERE VILLEMONTEL	QC	Discontinued
02JB004	KINOJEVIS (RIVIERE) EN AVAL DU LAC PREISSAC	QC	Discontinued
02JB005	OUTAOUAIS (RIVIERE DES) AU BARRAGE DE RAPIDE-SEPT	QC	Discontinued
02JB006	OUTAOUAIS (RIVIERE DES) AUX RAPIDES 2	QC	Discontinued
02JB008	OUTAOUAIS (RIVIERE DES) BARRAGE DES RAPIDES DES QUINZE	QC	Discontinued
02JB009	OUTAOUAIS (RIVIERE DES) A LA SORTIE DU LAC GRANET	QC	Active
02JB010	OUTAOUAIS (RIVIERE DES) AU BARRAGE DES RAPIDES DES ILES	QC	Discontinued
02JB011	QUINZE (LAC DES) A LA POINTE DU PIN ROUGE	QC	Active
02JB012	SIMARD (LAC) A LAFORCE	QC	Active
02JB013	"KINOJEVIS (RIVIERE) A 0,3 KM EN AMONT DU PONT-ROUTE A CLêRICY"	QC	Active
02JB017	QUINZE (LAC DES) A ANGLIERS	QC	Active
02JB021	OUTAOUAIS (RIVIERE DES) CENTRALE DE PREMIERE CHUTE	QC	Discontinued
02JB022	OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESQUINZE	QC	Discontinued
02JB023	OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESILES	QC	Discontinued
02JC001	ENGLEHART RIVER NEAR ENGLEHART	ON	Discontinued
02JC003	ENGLEHART RIVER NEAR CHARLTON	ON	Discontinued
02JC007	BOSTON CREEK NEAR DANE	ON	Discontinued
02JC008	BLANCHE RIVER ABOVE ENGLEHART	ON	Active
02JC009	BLANCHE RIVER AT SWASTIKA	ON	Discontinued
02JC010	LARDER RIVER ABOVE RAVEN LAKE	ON	Discontinued
02JD002	MONTREAL RIVER NEAR ELK LAKE	ON	Discontinued
02JD004	MONTREAL RIVER AT ELK LAKE	ON	Discontinued
02JD005	MONTREAL RIVER AT INDIAN CHUTE PLANT	ON	Discontinued
02JD006	MONTREAL RIVER AT INDIAN CHUTE	ON	Discontinued
02JD008	MONTREAL RIVER AT UPPER NOTCH GENERATING STATION	ON	Discontinued
02JD009	MONTREAL RIVER AT MOUNTAIN CHUTES	ON	Discontinued
02JD010	MONTREAL RIVER AT LOWER NOTCH GENERATING STATION	ON	Discontinued
02JD011	LADY EVELYN RIVER AT LADY EVELYN LAKE	ON	Discontinued
02JD012	WEST MONTREAL RIVER AT MISTINIKON LAKE DAM	ON	Discontinued
02JD013	BAY LAKE AT LATCHFORD	ON	Active
02JD014	MONTREAL RIVER AT LATCHFORD	ON	Active
02JE001	KIPAWA (RIVIERE) EN AVAL DU BARRAGE DE KIPAWA	QC	Discontinued
02JE002	GORDON (RUISSEAU) A KIPAWA	QC	Discontinued
02JE003	OTTAWA RIVER NEAR TIMISKAMING	ON	Discontinued
02JE005	KIPAWA (LAC) AU BARRAGE DE KIPAWA	QC	Discontinued
02JE008	KAIBUSKONG RIVER AT BONFIELD	ON	Discontinued
02JE011	LAKE TIMISKAMING AT HAILEYBURY	ON	Active
02JE012	OTTAWA RIVER AT LA CAVE RAPIDS	ON	Discontinued
02JE013	OTTAWA RIVER AT MATTAWA	ON	Active
02JE014	MATTAWA RIVER NEAR RUTHERGLEN	ON	Discontinued
02JE015	KIPAWA (RIVIERE) EN AVAL DE LANIEL	QC	Discontinued
02JE016	GORDON (RUISSEAU) EN AVAL DU BARRAGE DE KIPAWA	QC	Discontinued
02JE017	KIPAWA (LAC) A LANIEL	QC	Active
02JE018	FARR CREEK AT NORTH COBALT	ON	Discontinued
02JE019	AMABLE DU FOND RIVER AT SAMUEL DE CHAMPLAIN PROVINCIAL PARK	ON	Discontinued
02JE020	MATTAWA RIVER BELOW BOUILLON LAKE	ON	Discontinued
02JE021	MATABITCHUAN RIVER AT RABBIT LAKE DAM	ON	Discontinued
02JE022	GORDON (RUISSEAU) AU LAC TEE	QC	Discontinued
02JE023	KIPAWA (RIVIERE) AU LAC SAIRS	QC	Discontinued
02JE024	OTTAWA RIVER BELOW TEMISCAMING	ON	Discontinued
02JE025	TEMISCAMINGUE (LAC) A TEMISCAMING	QC	Active
02JE026	TEMISCAMINGUE (LAC) A VILLE-MARIE	QC	Active
02JE027	AMABLE DU FOND RIVER AT KIOSK	ON	Active
02JE028	NET CREEK BELOW NET LAKE	ON	Active
02JE029	KIPAWA (RIVI?RE) ? 0.2 KM EN AVAL DU BARRAGE LANIEL	QC	Active
02JE030	KIPAWA (LAC) ? KIPAWA	QC	Active
02JE031	GORDON (RUISSEAU) A LA DêCHARGE DU LAC TEE ? KIPAWA	QC	Active
02JE032	OTTAWA RIVER AT THORNE	ON	Active
02KA002	OTTAWA RIVER AT DES JOACHIMS	ON	Discontinued
02KA003	PERCH LAKE OUTLET NEAR CHALK RIVER	ON	Discontinued
02KA005	PERCH LAKE INLET NO. 2 NEAR CHALK RIVER	ON	Discontinued
02KA009	TRIBUTARY TO PERCH LAKE INLET NO. 2 NEAR CHALK RIVER	ON	Discontinued
02KA010	EAST TRIBUTARY TO PERCH LAKE INLET NO. 2 NEAR CHALK RIVER	ON	Discontinued
02KA011	DUMOINE (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS	QC	Discontinued
02KA012	MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS	QC	Discontinued
02KA013	MAGANASIPI (RIVIERE) AU LAC JOHNSON	QC	Discontinued
02KA014	MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS	QC	Discontinued
02KA015	AUMOND CREEK NEAR MATTAWA	ON	Active
02KB001	PETAWAWA RIVER NEAR PETAWAWA	ON	Active
02KC001	BONNECHERE RIVER NEAR EGANVILLE	ON	Discontinued
02KC002	BONNECHERE RIVER AT GOLDEN LAKE	ON	Discontinued
02KC003	BONNECHERE RIVER AT RENFREW	ON	Discontinued
02KC005	OTTAWA RIVER NEAR WESTMEATH	ON	Discontinued
02KC009	BONNECHERE RIVER NEAR CASTLEFORD	ON	Active
02KC010	BONNECHERE RIVER AT ROUND LAKE	ON	Discontinued
02KC011	OUTAOUAIS (RIVIERE DES) PRES DE PORTAGE-DU-FORT	QC	Discontinued
02KC012	OTTAWA RIVER AT ARNPRIOR	ON	Discontinued
02KC013	OTTAWA RIVER AT PEMBROKE	ON	Discontinued
02KC014	INDIAN RIVER NEAR PEMBROKE	ON	Discontinued
02KC015	MUSKRAT RIVER NEAR PEMBROKE	ON	Active
02KC016	OTTAWA RIVER AT SANDPOINT	ON	Discontinued
02KC017	OUTAOUAIS (RIVIERE DES) CENTRALE DE BRYSON	QC	Discontinued
02KC018	INDIAN RIVER AT PEMBROKE	ON	Active
02KD001	MADAWASKA RIVER AT MADAWASKA	ON	Discontinued
02KD002	YORK RIVER NEAR BANCROFT	ON	Active
02KD004	MADAWASKA RIVER AT PALMER RAPIDS	ON	Active
02KD006	MADAWASKA RIVER AT WHITNEY	ON	Discontinued
02KD007	MADAWASKA RIVER AT BARK LAKE DAM	ON	Discontinued
02KD008	BAPTISTE LAKE AT BAPTISTE LAKE DAM	ON	Discontinued
02KD009	WESLEMKOON LAKE AT WESLEMKOON	ON	Discontinued
02KE002	MADAWASKA RIVER NEAR ARNPRIOR	ON	Discontinued
02KE003	MADAWASKA RIVER AT CALABOGIE	ON	Discontinued
02KE004	MADAWASKA RIVER AT CLAY BANK	ON	Discontinued
02KE005	MADAWASKA RIVER AT STEWARTVILLE	ON	Discontinued
02KF001	MISSISSIPPI RIVER AT FERGUSONS FALLS	ON	Active
02KF002	MISSISSIPPI RIVER AT GALETTA	ON	Discontinued
02KF003	MISSISSIPPI RIVER NEAR SNOW ROAD STATION	ON	Discontinued
02KF004	OUTAOUAIS (RIVIERE DES) A QUYON	QC	Discontinued
02KF005	OTTAWA RIVER AT BRITANNIA	ON	Active
02KF006	MISSISSIPPI RIVER AT APPLETON	ON	Active
02KF007	MISSISSIPPI RIVER AT RAGGED CHUTE	ON	Discontinued
02KF009	OTTAWA RIVER AT CHATS FALLS	ON	Discontinued
02KF010	CLYDE RIVER NEAR LANARK	ON	Active
02KF011	CARP RIVER NEAR KINBURN	ON	Active
02KF012	INDIAN RIVER NEAR BLAKENEY	ON	Active
02KF013	CLYDE RIVER AT GORDON RAPIDS	ON	Active
02KF014	FALL RIVER NEAR FALLBROOK	ON	Discontinued
02KF015	GRAHAM CREEK AT NEPEAN	ON	Active
02KF016	MISSISSIPPI RIVER BELOW MARBLE LAKE	ON	Active
02KF017	BUCKSHOT CREEK NEAR PLEVNA	ON	Active
02KF018	FALL RIVER AT OUTLET OF BENNETT LAKE	ON	Active
02KF019	MISSISSIPPI RIVER AT OUTLET OF DALHOUSIE LAKE	ON	Active
02KF020	SHARBOT LAKE AT OUTLET OF SHARBOT LAKE	ON	Active
02KG001	COULONGE (RIVIERE) PRES DE FORT-COULONGE	QC	Discontinued
02KG003	COULONGE (RIVIERE) EN AMONT DE LA RIVIERE COULONGE EST	QC	Discontinued
02KG005	COULONGE (RIVIERE) AU PONT TERRY-FOX QUI MENE AU CLUB DE GOLF DE PONTEFRACT	QC	Discontinued
02KH001	NOIRE (RIVIERE)	QC	Discontinued
02KH002	NOIRE (RIVIERE) A WALTHAM-STATION	QC	Discontinued
02KH003	NOIRE (RIVIERE)	QC	Discontinued
02KH004	NOIRE (RIVIERE)	QC	Discontinued
02KJ003	DUMOINE (RIVIERE) AU LAC DUMOINE	QC	Discontinued
02KJ004	DUMOINE (RIVIERE) A LA SORTIE DU LAC ROBINSON	QC	Active
02LA001	TAY RIVER NEAR GLEN TAY	ON	Discontinued
02LA003	OTTAWA RIVER AT RIDEAU LOCKS	ON	Discontinued
02LA004	RIDEAU RIVER AT OTTAWA	ON	Active
02LA005	RIDEAU RIVER ABOVE SMITHS FALLS	ON	Discontinued
02LA006	KEMPTVILLE CREEK NEAR KEMPTVILLE	ON	Active
02LA007	JOCK RIVER NEAR RICHMOND	ON	Active
02LA008	BLACK RAPIDS CREEK TRIBUTARY AT OTTAWA	ON	Discontinued
02LA009	RIDEAU RIVER AT POONAMALIE LOCKS	ON	Discontinued
02LA010	RIDEAU RIVER NEAR BECKETTS LANDING	ON	Discontinued
02LA011	RIDEAU RIVER BELOW MERRICKVILLE	ON	Discontinued
02LA012	RIDEAU RIVER BELOW MANOTICK	ON	Discontinued
02LA013	SAWMILL CREEK AT OTTAWA	ON	Discontinued
02LA014	RIDEAU RIVER AT RIDEAU FERRY	ON	Discontinued
02LA015	OUTAOUAIS (RIVIERE DES) A HULL	QC	Active
02LA016	TAY RIVER AT PORT ELMSLEY	ON	Discontinued
02LA017	TAY RIVER BELOW BOBS LAKE	ON	Discontinued
02LA018	RIDEAU RIVER AT MERRICKVILLE	ON	Discontinued
02LA019	OUTAOUAIS (RIVIERE DES) CENTRALE DE HULL 2	QC	Discontinued
02LA024	TAY RIVER IN PERTH	ON	Active
02LA026	STEVEN CREEK NEAR NORTH GOWER	ON	Discontinued
02LA027	RIDEAU RIVER ABOVE RIDEAU FALLS	ON	Active
02LA028	OTTAWA RIVER MAIN CHANNEL BELOW CHAUDIERE FALLS	ON	Active
02LB001	OUTAOUAIS (RIVIERE DES) A GRENVILLE	QC	Discontinued
02LB005	SOUTH NATION RIVER NEAR PLANTAGENET SPRINGS	ON	Active
02LB006	CASTOR RIVER AT RUSSELL	ON	Active
02LB007	SOUTH NATION RIVER AT SPENCERVILLE	ON	Active
02LB008	BEAR BROOK NEAR BOURGET	ON	Active
02LB009	SOUTH NATION RIVER AT CHESTERVILLE	ON	Active
02LB010	OTTAWA RIVER AT CUMBERLAND	ON	Discontinued
02LB012	EAST BRANCH SCOTCH RIVER NEAR ST. ISIDORE DE PRESCOTT	ON	Discontinued
02LB013	SOUTH NATION RIVER AT CASSELMAN	ON	Active
02LB014	SOUTH NATION RIVER BELOW CASSELMAN	ON	Discontinued
02LB015	SOUTH NATION RIVER AT LEMIEUX	ON	Discontinued
02LB016	LITTLE CASTOR RIVER NEAR EMBRUN	ON	Discontinued
02LB017	NORTH BRANCH SOUTH NATION RIVER NEAR HECKSTON	ON	Active
02LB018	WEST BRANCH SCOTCH RIVER NEAR ST. ISIDORE DE PRESCOTT	ON	Active
02LB019	SOUTH INDIAN CREEK NEAR LIMOGES	ON	Discontinued
02LB020	SOUTH CASTOR RIVER AT KENMORE	ON	Active
02LB021	EAST CASTOR RIVER NEAR RUSSELL	ON	Discontinued
02LB022	PAYNE RIVER NEAR BERWICK	ON	Active
02LB024	OUTAOUAIS (RIVIERE DES) AU BARRAGE DE CARILLON	QC	Discontinued
02LB025	OUTAOUAIS (RIVIERE DES) A CARILLON (AVAL)	QC	Discontinued
02LB026	OUTAOUAIS (RIVIERE DES) A CARILLON (AMONT)	QC	Discontinued
02LB028	BEAR BROOK ABOVE BOURGET	ON	Discontinued
02LB029	SOUTH NATION RIVER AT SEQUIN BRIDGE	ON	Discontinued
02LB030	SOUTH NATION RIVER AT PENDLETON BRIDGE	ON	Discontinued
02LB031	SOUTH BRANCH SOUTH NATION RIVER NEAR WINCHESTER SPRINGS	ON	Active
02LB032	RIGAUD RIVER NEAR ST. EUGENE	ON	Active
02LB033	BECKETTS CREEK NEAR BECKETTS CREEK	ON	Discontinued
02LB035	OUTAOUAIS (RIVI?RE DES) ? RIGAUD	QC	Discontinued
02LB036	BECKETTS CREEK NEAR CUMBERLAND ESTATES	ON	Active
02LB101	BEAR BROOK AT CARLSBAD SPRINGS	ON	Discontinued
02LC001	NORD (RIVIERE DU) A SAINT-CANUT	QC	Discontinued
02LC002	ROUGE (RIVIERE) EN AVAL DE LA CHUTE BELL	QC	Discontinued
02LC003	OUEST (RIVIERE DE L') AU PONT LEGER	QC	Discontinued
02LC004	ROUGE (RIVIERE) A LABELLE	QC	Discontinued
02LC005	NORD (RIVIERE DU) EN AMONT DE LA RIVIERE DONCASTER	QC	Discontinued
02LC006	DONCASTER (RIVIERE)	QC	Discontinued
02LC007	ROUGE (RIVIERE) PRES DE LA MACAZA	QC	Discontinued
02LC008	"NORD (RIVIERE DU) A 4,8 KM EN AMONT DU PONT DU C.N. A SAINT-JEROME"	QC	Active
02LC009	MASSON (LAC) AU BARRAGE MASSON	QC	Active
02LC010	LUDGER (LAC) AU BARRAGE LUDGER	QC	Active
02LC011	NORD (RIVIERE DU) AU BARRAGE DE LA MONTAGNE NOIRE  ? LANTIER	QC	Active
02LC012	CORNU (LAC) AU BARRAGE-CORNU	QC	Active
02LC013	MANITOU (LAC) AU BARRAGE MANITOU	QC	Active
02LC014	PAPINEAU (LAC) AU BARRAGE PAPINEAU ? SAINTE-AGATHE-DES-MONTS	QC	Active
02LC015	NORD (RIVIER DU) AU BARRAGE BRULE	QC	Active
02LC016	SABLES (LAC DES) AU BARRAGE DES SABLES	QC	Active
02LC017	MULETS (RIVIERE AUX) AU BARRAGE THEODORE	QC	Active
02LC019	NORD (RUISSEAU) SUR LE CHEMIN SAINT-DOMINIQUE	QC	Discontinued
02LC020	NORD (RIVIERE DU) A LACHUTE	QC	Discontinued
02LC021	NORD (RIVIERE DU) PRES DE SAINT-AGATHE	QC	Active
02LC022	NORD (RIVIERE DU) A SAINT-ANDRE-EST	QC	Discontinued
02LC023	OUEST (RIVIERE DE L') EN AMONT DU RUISSEAU DES VASES	QC	Discontinued
02LC024	ROUGE (RIVIERE) A SON EMBOUCHURE	QC	Discontinued
02LC025	SIMON (RIVIERE) A SON EMBOUCHURE	QC	Discontinued
02LC026	BONNIEBROOK (RUISSEAU) AU LAC FIDDLER	QC	Discontinued
02LC027	DONCASTER (RIVIERE) AU LAC ELEVE	QC	Active
02LC028	ROUGE (RIVIERE) EN AVAL DE LA RIVIERE BEVIN	QC	Discontinued
02LC029	ROUGE (RIVIERE) EN AMONT DE LA CHUTE MCNEIL	QC	Active
02LC031	BEVIN (RIVIERE) A LAKEVIEW	QC	Discontinued
02LC032	BEVI (LAC) AU PONT-ROUTE 327	QC	Discontinued
02LC033	MCDONALD (LAC) A LAKEVIEW	QC	Discontinued
02LC034	DECHARGE DU LAC DES SEIZE ILES EN AVAL DU BARRAGE	QC	Discontinued
02LC035	SEIZE ILES (LAC DES)	QC	Discontinued
02LC038	MAROIS (LAC)	QC	Discontinued
02LC039	SAINT-JOSEPH (LAC)	QC	Discontinued
02LC040	ECHO (LAC)	QC	Discontinued
02LC042	RAYMOND (LAC)	QC	Discontinued
02LC043	"SAINT-LOUIS (RUISSEAU) ? 0,3 KM DE LA RIVI?RE DU DIABLE"	QC	Active
02LC062	BAPTISTE (LAC)	QC	Discontinued
02LC064	SAVANE (LAC DE LA)	QC	Discontinued
02LC066	ESCALIER (LAC)	QC	Discontinued
02LC067	MONROE (LAC)	QC	Discontinued
02LC068	NORD (RIVIERE DU) EN AMONT DE LA RIVIERE DONCASTER	QC	Discontinued
02LC069	BECS-SCIE (LAC DES)	QC	Discontinued
02LC070	DECHARGE DU LAC LUDGER (RUISSEAU) EN AVAL DU BARRAGE LUDGER	QC	Active
02LD001	PETITE NATION (RIVIERE DE LA) A PORTAGE-DE-LA-NATION	QC	Discontinued
02LD002	PETITE NATION (RIVIERE DE LA) PRES DE COTE-SAINT-PIERRE	QC	Discontinued
02LD004	PETITE NATION (RIVIERE DE LA) A PORTAGE-DE-LA-NATION	QC	Discontinued
02LD005	"PETITE NATION (RIVIERE DE LA) AU PONT ? 1,6 KM EN AMONT DE RIPON"	QC	Active
02LD006	"SUFFOLK (RUISSEAU) ? 0,2 KM EN AMONT DU PONT-ROUTE ? CHêNêVILLE"	QC	Active
